# Sampling Rate: 100000 S/s
#
# channel_A channel_B
-0.023804 0.430921
-0.025025 0.427869
-0.025025 0.427869
-0.027772 0.421766
-0.020447 0.424818
-0.024415 0.420545
-0.023804 0.416578
-0.026246 0.413221
-0.021058 0.418714
-0.024415 0.408643
-0.021668 0.407727
-0.024720 0.407422
-0.022584 0.403455
-0.024110 0.400098
-0.023804 0.397656
-0.022279 0.397046
-0.022584 0.396130
-0.019532 0.392773
-0.021363 0.391552
-0.021058 0.388806
-0.020447 0.387280
-0.024110 0.383007
-0.018921 0.383923
-0.024110 0.374767
-0.021363 0.378124
-0.020447 0.373852
-0.018616 0.372021
-0.020142 0.370800
-0.019532 0.367138
-0.015564 0.368053
-0.019837 0.362255
-0.020142 0.359813
-0.020447 0.357982
-0.018921 0.356761
-0.020142 0.354625
-0.019837 0.349132
-0.020142 0.349437
-0.018616 0.344249
-0.018616 0.343028
-0.017701 0.341197
-0.016480 0.340587
-0.016480 0.337840
-0.017396 0.336009
-0.015259 0.335398
-0.016480 0.329295
-0.016480 0.329905
-0.018006 0.321970
-0.010987 0.331431
-0.017090 0.317392
-0.014344 0.319834
-0.015870 0.315561
-0.015870 0.312510
-0.015564 0.312510
-0.016480 0.309153
-0.011902 0.308542
-0.014344 0.303354
-0.013123 0.302438
-0.014039 0.300607
-0.016480 0.296030
-0.012207 0.294504
-0.014649 0.289926
-0.012207 0.293588
-0.015564 0.284127
-0.013428 0.285653
-0.015870 0.279550
-0.012818 0.280160
-0.012513 0.278634
-0.010987 0.275277
-0.008545 0.274361
-0.013428 0.269784
-0.011292 0.269478
-0.013428 0.264290
-0.010681 0.263680
-0.013123 0.259407
-0.007935 0.259407
-0.012818 0.256050
-0.008545 0.255135
-0.014039 0.249641
-0.010376 0.248115
-0.009766 0.245369
-0.008545 0.245064
-0.008850 0.240791
-0.007630 0.241401
-0.009461 0.236518
-0.008545 0.234687
-0.008545 0.231025
-0.005799 0.232551
-0.009461 0.224311
-0.007935 0.224921
-0.006714 0.220649
-0.005493 0.218513
-0.007324 0.216071
-0.005799 0.214545
-0.005188 0.213630
-0.005799 0.209052
-0.007630 0.206610
-0.005493 0.204169
-0.004883 0.202643
-0.005188 0.200812
-0.007630 0.195318
-0.003967 0.195318
-0.006714 0.188910
-0.005188 0.189215
-0.003967 0.188910
-0.003967 0.184637
-0.003357 0.181585
-0.004273 0.177618
-0.001526 0.178838
-0.003052 0.175176
-0.001221 0.171514
-0.004883 0.167852
0.001831 0.168767
-0.003967 0.160222
-0.001526 0.163274
-0.000610 0.159917
-0.001526 0.156865
0.000305 0.154118
-0.001526 0.152593
0.000305 0.149846
-0.000916 0.146184
0.000610 0.146184
-0.000916 0.143132
-0.000610 0.138554
0.000305 0.136113
-0.002747 0.132450
0.000916 0.130924
-0.002747 0.126957
0.001221 0.125126
-0.000916 0.123600
-0.000610 0.121769
0.001526 0.119022
0.001221 0.114750
0.003662 0.115970
-0.000610 0.110477
0.000916 0.107730
0.001526 0.104678
0.007630 0.106510
0.002441 0.100711
0.004578 0.100101
0.001221 0.095523
0.003052 0.090945
0.003357 0.089419
0.005799 0.089419
0.005188 0.084841
0.003967 0.083010
